title,url,date,date_parsed,event_type,score,reasons
PM Netanyahu Meets with Kenyan President Uhuru Kenyatta,https://www.gov.il/en/pages/eventkenya230216,2016-02-23,2016-02-23,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
Statements by PM Netanyahu and British Minister for the Cabinet Office Matt Hancock,https://www.gov.il/en/pages/eventhancock170216,2016-02-17,2016-02-17,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu's Statement at the Inter-Governmental Consultations with Germany,https://www.gov.il/en/pages/speechgermanya160216,2016-02-16,2016-02-16,statement,28,PM statement; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with BlackRock President Rob Capito,https://www.gov.il/en/pages/eventblackrock290116,2016-01-29,2016-01-29,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Indian External Affairs Minister Sushma Swaraj,https://www.gov.il/en/pages/eventindia180116,2016-01-18,2016-01-18,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Ukraine President Petro Poroshenko,https://www.gov.il/en/pages/eventuk221215,2015-12-22,2015-12-22,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Albanian Prime Minister Edi Rama,https://www.gov.il/en/pages/eventalbania211215,2015-12-21,2015-12-21,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Macedonian Prime Minister Nikola Gruevski,https://www.gov.il/en/pages/eventmacedonia091215,2015-12-09,2015-12-09,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with German President Joachim Gauck,https://www.gov.il/en/pages/eventgermanp061215,2015-12-06,2015-12-06,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Vietnamese Deputy Prime Minister Hoàng Trung Hải,https://www.gov.il/en/pages/eventvietnam021215,2015-12-02,2015-12-02,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Canadian Prime Minister Justin Trudeau,https://www.gov.il/en/pages/eventconference301115,2015-11-30,2015-11-30,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
PM Netanyahu Meets with Japanese Prime Minister Shinzo Abe,https://www.gov.il/en/pages/eventjapan301115,2015-11-30,2015-11-30,meeting,28,meeting; Netanyahu explicitly in title; foreign/UN signal
