title,url,date,date_parsed,event_type,score,reasons
Excerpt from Prime Minister Bennett's Remarks at Sheba Medical Center,https://www.gov.il/en/pages/spoke_telhashomer040122,2022-01-04,2022-01-04,no_netanyahu,-100,no Netanyahu mention
"PM Bennett: ""I would like to send my heartfelt condolences to the families of those who were killed in the helicopter accident""",https://www.gov.il/en/pages/spoke_condolences040122,2022-01-04,2022-01-04,no_netanyahu,-100,no Netanyahu mention
"Prime Minister Naftali Bennett: ""Fourth Vaccination Campaign is a Great Success""",https://www.gov.il/en/pages/spoke_vaccine030122,2022-01-03,2022-01-03,no_netanyahu,-100,no Netanyahu mention
PM Bennett Announces Israelis 60+ and Medical Workers to receive 4th Vaccine,https://www.gov.il/en/pages/event_statement020122,2022-01-02,2022-01-02,no_netanyahu,-100,no Netanyahu mention
Cabinet Approves Proposal by PM Bennett and Economy and Industry Minister Barbivay to Strengthen Israeli Industry in the Planning and Construction Sectors,https://www.gov.il/en/pages/spoke_industry020122,2022-01-02,2022-01-02,no_netanyahu,-100,no Netanyahu mention
Cabinet Approves the Proposal by Prime Minister Bennett and Public Security Minister Barlev to Declare the Police Counter-Terrorism Unit as the Israel National Counter-Terrorism Unit,https://www.gov.il/en/pages/spoke_police020122,2022-01-02,2022-01-02,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett’s Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start020122,2022-01-02,2022-01-02,no_netanyahu,-100,no Netanyahu mention
PM Bennett Speaks with the Pilot of the El Al Plane that Brought the Pfizer Anti-Coronavirus Drug and with El Al CEO Avigal Sorek,https://www.gov.il/en/pages/spoke_phone301221,2021-12-30,2021-12-30,no_netanyahu,-100,no Netanyahu mention
Following Negotiations led by PM Bennett – First Shipment of Pfizer Anti-Coronavirus Drug Arrives in Israel,https://www.gov.il/en/pages/spoke_pfizer301221,2021-12-30,2021-12-30,no_netanyahu,-100,no Netanyahu mention
PM Bennett Decides to Appoint Brig.-Gen. (ret.) Moshe Edri as Chairman of the Atomic Eergy Commission,https://www.gov.il/en/pages/spoke_moshe291221,2021-12-29,2021-12-29,no_netanyahu,-100,no Netanyahu mention
The Public Diplomacy Directorate in the Prime Minister's Office Convened the Public Diplomacy Forum today for the first time in many years,https://www.gov.il/en/pages/event_forum281221,2021-12-28,2021-12-28,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Holds Discussion on Updating the Quarantine Format in Israel,https://www.gov.il/en/pages/spoke_corona281221,2021-12-28,2021-12-28,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Holds Consultation on Avian Flu in the North,https://www.gov.il/en/pages/spoke_avianflu271221,2021-12-27,2021-12-27,no_netanyahu,-100,no Netanyahu mention
Prime Minister Bennett and Health Minister Horowitz Hold Discussion on Updating the Quarantine Format for Those who have been Exposed to Verified Omicron Cases,https://www.gov.il/en/pages/spoke_corona271221,2021-12-27,2021-12-27,no_netanyahu,-100,no Netanyahu mention
"Cabinet, at a Special Meeting, Approves a NIS 1 Billion Plan to Develop the Golan Heights",https://www.gov.il/en/pages/spoke_golan261221,2021-12-26,2021-12-26,no_netanyahu,-100,no Netanyahu mention
