date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators
2022-03-29 16:30,1648596600,Milwaukee Bucks @ Philadelphia 76ers,Philadelphia 76ers,Milwaukee Bucks,NBA Regular Season,NBC Sports Philadelphia,1592,https://basketball.icdb.tv/match/1592,Lisa Byington,Marques Johnson,"Marques Johnson, Alaa Abdelnaby","Steve Novak, Jim Lynam, Marc Jackson","Dario Melendez, Amy Fadool",Zora Stephenson,"Dario Melendez (Presenter), Lisa Byington (Main Commentator), Marques Johnson (Co-commentator), Steve Novak (Pundit), Zora Stephenson (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-03-25 19:30,1648261800,Philadelphia 76ers @ Los Angeles Clippers,Los Angeles Clippers,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,1646,https://basketball.icdb.tv/match/1646,Brian Sieman,Mike Fratello,"Mike Fratello, Alaa Abdelnaby","Corey Maggette, Don MacLean, Jim Lynam, Marc Jackson","Jeanne Zelasko, Amy Fadool",Kristina Pink,"Jeanne Zelasko (Presenter), Brian Sieman (Main Commentator), Mike Fratello (Co-commentator), Corey Maggette (Pundit), Don MacLean (Pundit), Kristina Pink (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-03-20 17:30,1647822600,Toronto Raptors @ Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,NBA Regular Season,NBC Sports Philadelphia,1574,https://basketball.icdb.tv/match/1574,Kate Scott,Alaa Abdelnaby,"Alaa Abdelnaby, Alvin Williams","Jim Lynam, Marc Jackson",Amy Fadool,,"Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit), Matt Devlin (Main Commentator), Alvin Williams (Co-commentator)"
2022-03-18 16:00,1647644400,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,NBA Regular Season,NBC Sports Philadelphia,1548,https://basketball.icdb.tv/match/1548,Mark Followill,Derek Harper,"Derek Harper, Alaa Abdelnaby","Brian Dameris, Devin Harris, Jim Lynam, Marc Jackson","Dana Larson, Amy Fadool",,"Dana Larson (Presenter), Mark Followill (Main Commentator), Derek Harper (Co-commentator), Brian Dameris (Pundit), Devin Harris (Pundit), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-03-16 16:00,1647471600,Philadelphia 76ers @ Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1529,https://basketball.icdb.tv/match/1529,John Michael,Austin Carr,"Austin Carr, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-03-13 15:00,1647208800,Philadelphia 76ers @ Orlando Magic,Orlando Magic,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia Plus,1508,https://basketball.icdb.tv/match/1508,David Steele,Jeff Turner,"Jeff Turner, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Dante Marchitelli,"David Steele (Main Commentator), Jeff Turner (Co-commentator), Dante Marchitelli (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-02-12 16:30,1644712200,Cleveland Cavaliers @ Philadelphia 76ers,Philadelphia 76ers,Cleveland Cavaliers,NBA Regular Season,NBC Sports Philadelphia,1281,https://basketball.icdb.tv/match/1281,John Michael,Austin Carr,"Austin Carr, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-02-11 16:00,1644624000,Oklahoma City Thunder @ Philadelphia 76ers,Philadelphia 76ers,Oklahoma City Thunder,NBA Regular Season,NBC Sports Philadelphia,1291,https://basketball.icdb.tv/match/1291,Chris Fisher,Michael Cage,"Michael Cage, Alaa Abdelnaby",Nancy Lieberman,John Rhadigan,Nick Gallo,"John Rhadigan (Presenter), Chris Fisher (Main Commentator), Michael Cage (Co-commentator), Nancy Lieberman (Pundit), Nick Gallo (Reporter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator)"
2022-02-08 16:00,1644364800,Phoenix Suns @ Philadelphia 76ers,Philadelphia 76ers,Phoenix Suns,NBA Regular Season,NBC Sports Philadelphia,1255,https://basketball.icdb.tv/match/1255,Kevin Ray,Eddie A. Johnson,"Eddie A. Johnson, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,,"Kevin Ray (Main Commentator), Eddie A. Johnson (Co-commentator), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
2022-02-06 12:30,1644179400,Philadelphia 76ers @ Chicago Bulls,Chicago Bulls,Philadelphia 76ers,NBA Regular Season,NBC Sports Philadelphia,1216,https://basketball.icdb.tv/match/1216,Adam Amin,Stacey King,"Stacey King, Alaa Abdelnaby","Jim Lynam, Marc Jackson",Amy Fadool,K.C. Johnson,"Adam Amin (Main Commentator), Stacey King (Co-commentator), K.C. Johnson (Reporter), Amy Fadool (Presenter), Kate Scott (Main Commentator), Alaa Abdelnaby (Co-commentator), Jim Lynam (Pundit), Marc Jackson (Pundit)"
