date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file,channels
2022-06-08 18:00,1654736400.0,Golden State Warriors @ Boston Celtics,Boston Celtics,Golden State Warriors,NBA Regular Season,ESPN Radio,1909.0,https://basketball.icdb.tv/match/1909,Mike Breen,Jeff Van Gundy,"Jeff Van Gundy, Mark Jackson, P.J. Carlesimo, Doris Burke","Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Ros Gold-Onwude, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Jeff Van Gundy (Co-commentator), Mark Jackson (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), P.J. Carlesimo (Co-commentator), Doris Burke (Co-commentator), Ros Gold-Onwude (Reporter), Monica McNutt (Reporter)",Golden State Warriors @ Boston Celtics,pending,,
2022-06-05 17:00,1654473600.0,Boston Celtics @ Golden State Warriors,Golden State Warriors,Boston Celtics,NBA Regular Season,"ABC (usa), ESPN App (US), Sky Sports Arena UK HD, Sky Sports Main Event UK HD, SportsNet 1 Canada HD, Sportsnet",1908.0,https://basketball.icdb.tv/match/1908,Mark Jones,Mark Jackson,"Mark Jackson, Jeff Van Gundy, P.J. Carlesimo, Doris Burke","Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Ros Gold-Onwude, Monica McNutt","Mike Greenberg (Presenter), Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Jeff Van Gundy (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Marc Kestecher (Main Commentator), P.J. Carlesimo (Co-commentator), Doris Burke (Co-commentator), Ros Gold-Onwude (Reporter), Monica McNutt (Reporter)",Boston Celtics @ Golden State Warriors,pending,,
2022-06-02 18:00,1654218000.0,Boston Celtics @ Golden State Warriors,Golden State Warriors,Boston Celtics,NBA Regular Season,"ABC (usa), ESPN App (US), Sky Sports Arena UK HD, Sky Sports Main Event UK HD, TSN Canada 1 HD, TSN Canada 3 HD, TSN Canada 4 HD",1907.0,https://basketball.icdb.tv/match/1907,Mark Jones,Mark Jackson,"Mark Jackson, Doris Burke, P.J. Carlesimo","Adrian Wojnarowski, Jalen Rose, Magic Johnson, Michael Wilbon, Stephen A. Smith, CJ McCollum, Tim Legler, Julius Erving","Mike Greenberg, Michael Eaves, Kevin Winter","Lisa Salters, Monica McNutt, Ros Gold-Onwude","Mike Greenberg (Presenter), Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Adrian Wojnarowski (Pundit), Jalen Rose (Pundit), Magic Johnson (Pundit), Michael Wilbon (Pundit), Stephen A. Smith (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Michael Eaves (Presenter), CJ McCollum (Pundit), Tim Legler (Pundit), Julius Erving (Pundit), Kevin Winter (Presenter), Marc Kestecher (Main Commentator), Doris Burke (Co-commentator), P.J. Carlesimo (Co-commentator), Monica McNutt (Reporter), Ros Gold-Onwude (Reporter)",Boston Celtics @ Golden State Warriors,pending,,
2022-05-29 17:30,1653870600.0,Boston Celtics @ Miami Heat,Miami Heat,Boston Celtics,NBA Regular Season,"ESPN (US), ESPN App (US)",1903.0,https://basketball.icdb.tv/match/1903,Mark Jones,Mark Jackson,"Mark Jackson, Jeff Van Gundy, Doris Burke","Jalen Rose, Adrian Wojnarowski, Michael Wilbon, Stephen A. Smith","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mark Jones (Main Commentator), Mark Jackson (Co-commentator), Jeff Van Gundy (Co-commentator), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Michael Wilbon (Pundit), Stephen A. Smith (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Marc Kestecher (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Boston Celtics @ Miami Heat,pending,,
2022-05-27 17:30,1653697800.0,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,NBA Regular Season,ESPN Radio,1905.0,https://basketball.icdb.tv/match/1905,Mike Breen,Jeff Van Gundy,"Jeff Van Gundy, Mark Jackson, Doris Burke","Michael Wilbon, Jalen Rose, Stephen A. Smith, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Jeff Van Gundy (Co-commentator), Mark Jackson (Co-commentator), Michael Wilbon (Pundit), Jalen Rose (Pundit), Stephen A. Smith (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Miami Heat @ Boston Celtics,pending,,
2022-05-25 17:30,1653525000.0,Boston Celtics @ Miami Heat,Miami Heat,Boston Celtics,NBA Regular Season,ESPN Radio,1901.0,https://basketball.icdb.tv/match/1901,Mike Breen,Jeff Van Gundy,"Jeff Van Gundy, Mark Jackson, Doris Burke","Jalen Rose, Stephen A. Smith, Michael Wilbon, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Jeff Van Gundy (Co-commentator), Mark Jackson (Co-commentator), Jalen Rose (Pundit), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Boston Celtics @ Miami Heat,pending,,
2022-05-23 17:30,1653352200.0,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,NBA Regular Season,ESPN Radio,1897.0,https://basketball.icdb.tv/match/1897,Mike Breen,Mark Jackson,"Mark Jackson, Jeff Van Gundy, Doris Burke","Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Mark Jackson (Co-commentator), Jeff Van Gundy (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Miami Heat @ Boston Celtics,pending,,
2022-05-21 16:30,1653175800.0,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,NBA Regular Season,ESPN Radio,1895.0,https://basketball.icdb.tv/match/1895,Mike Breen,Jeff Van Gundy,"Jeff Van Gundy, Mark Jackson, Doris Burke","Jalen Rose, Stephen A. Smith, Michael Wilbon, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Malika Andrews, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Jeff Van Gundy (Co-commentator), Mark Jackson (Co-commentator), Jalen Rose (Pundit), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Adrian Wojnarowski (Pundit), Malika Andrews (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Miami Heat @ Boston Celtics,pending,,
2022-05-19 17:30,1653006600.0,Boston Celtics @ Miami Heat,Miami Heat,Boston Celtics,NBA Regular Season,ESPN Radio,1893.0,https://basketball.icdb.tv/match/1893,Mike Breen,Mark Jackson,"Mark Jackson, Jeff Van Gundy, Doris Burke","Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Mark Jackson (Co-commentator), Jeff Van Gundy (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Boston Celtics @ Miami Heat,pending,,
2022-05-17 17:30,1652833800.0,Boston Celtics @ Miami Heat,Miami Heat,Boston Celtics,NBA Regular Season,ESPN Radio,1891.0,https://basketball.icdb.tv/match/1891,Mike Breen,Jeff Van Gundy,"Jeff Van Gundy, Mark Jackson, Doris Burke","Stephen A. Smith, Michael Wilbon, Jalen Rose, Adrian Wojnarowski","Mike Greenberg, Kevin Winter","Lisa Salters, Monica McNutt","Mike Greenberg (Presenter), Mike Breen (Main Commentator), Jeff Van Gundy (Co-commentator), Mark Jackson (Co-commentator), Stephen A. Smith (Pundit), Michael Wilbon (Pundit), Jalen Rose (Pundit), Adrian Wojnarowski (Pundit), Lisa Salters (Reporter), Steve Javie (Former Official), Kevin Winter (Presenter), Mark Jones (Main Commentator), Doris Burke (Co-commentator), Monica McNutt (Reporter)",Boston Celtics @ Miami Heat,pending,,
