date,timestamp,teams,home_team,away_team,competition,channel,match_id,match_url,main_commentator,co_commentator,co_commentators,analysts,presenters,reporters,all_commentators,matchup,status,audio_file
2022-02-06 15:00,1644188400,Indiana Pacers @ Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,NBA Regular Season,Bally Sports Ohio,1219,https://basketball.icdb.tv/match/1219,Chris Denari,Quinn Buckner,"Quinn Buckner, Austin Carr",,Jeremiah Johnson,Serena Winters,"Jeremiah Johnson (Presenter), Chris Denari (Main Commentator), Quinn Buckner (Co-commentator), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-02-02 17:00,1643850000,Cleveland Cavaliers @ Houston Rockets,Houston Rockets,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1178,https://basketball.icdb.tv/match/1178,Craig Ackerman,Ryan Hollins,"Ryan Hollins, Austin Carr, Brad Daugherty","Calvin Murphy, Mario Elie",Kevin Eschenfelder,"Cayleigh Griffin, Serena Winters","Kevin Eschenfelder (Presenter), Craig Ackerman (Main Commentator), Ryan Hollins (Co-commentator), Calvin Murphy (Pundit), Mario Elie (Pundit), Cayleigh Griffin (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter)",,,
2022-01-31 16:00,1643673600,New Orleans Pelicans @ Cleveland Cavaliers,Cleveland Cavaliers,New Orleans Pelicans,NBA Regular Season,Bally Sports Ohio,1142,https://basketball.icdb.tv/match/1142,Joel Meyers,Antonio Daniels,"Antonio Daniels, Austin Carr",,,Serena Winters,"Joel Meyers (Main Commentator), Antonio Daniels (Co-commentator), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-01-30 15:00,1643583600,Cleveland Cavaliers @ Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,1137,https://basketball.icdb.tv/match/1137,George Blaha,Greg Kelser,"Greg Kelser, Austin Carr",Grant Long,Mickey York,"Johnny Kane, Serena Winters","Mickey York (Presenter), George Blaha (Main Commentator), Greg Kelser (Co-commentator), Grant Long (Pundit), Johnny Kane (Reporter), John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter)",,,
2022-01-26 16:00,1643241600,Milwaukee Bucks @ Cleveland Cavaliers,Cleveland Cavaliers,Milwaukee Bucks,NBA Regular Season,Bally Sports Ohio,1072,https://basketball.icdb.tv/match/1072,John Michael,Austin Carr,"Austin Carr, Marques Johnson",Steve Novak,Craig Coshun,"Serena Winters, Zora Stephenson","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Craig Coshun (Presenter), Lisa Byington (Main Commentator), Marques Johnson (Co-commentator), Steve Novak (Pundit), Zora Stephenson (Reporter)",,,
2022-01-24 16:00,1643068800,New York Knicks @ Cleveland Cavaliers,Cleveland Cavaliers,New York Knicks,NBA Regular Season,Bally Sports Ohio,1060,https://basketball.icdb.tv/match/1060,John Michael,Austin Carr,"Austin Carr, Brad Daugherty, Brendan Brown","Alan Hahn, Wally Szczerbiak",Bill Pidto,"Serena Winters, Rebecca Haarlow","John Michael (Main Commentator), Austin Carr (Co-commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Bill Pidto (Presenter), Mike Breen (Main Commentator), Brendan Brown (Co-commentator), Alan Hahn (Pundit), Wally Szczerbiak (Pundit), Rebecca Haarlow (Reporter)",,,
2022-01-22 17:00,1642899600,Oklahoma City Thunder @ Cleveland Cavaliers,Cleveland Cavaliers,Oklahoma City Thunder,NBA Regular Season,"Bally Sports Ohio, NBA TV (US)",1031,https://basketball.icdb.tv/match/1031,John Michael,Austin Carr,"Austin Carr, Michael Cage",Nancy Lieberman,John Rhadigan,"Serena Winters, Paris Lawson","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), John Rhadigan (Presenter), Chris Fisher (Main Commentator), Michael Cage (Co-commentator), Nancy Lieberman (Pundit), Paris Lawson (Reporter)",,,
2022-01-19 17:00,1642640400,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,987,https://basketball.icdb.tv/match/987,John Michael,Austin Carr,"Austin Carr, Stacey King",,,Serena Winters,"John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), Adam Amin (Main Commentator), Stacey King (Co-commentator)",,,
2022-01-17 12:00,1642449600,Brooklyn Nets @ Cleveland Cavaliers,Cleveland Cavaliers,Brooklyn Nets,NBA Regular Season,Bally Sports Ohio,969,https://basketball.icdb.tv/match/969,John Michael,Austin Carr,"Austin Carr, Brad Daugherty, Sarah Kustok",,,"Serena Winters, Michael Grady","John Michael (Main Commentator), Austin Carr (Co-commentator), Brad Daugherty (Co-commentator), Serena Winters (Reporter), Ian Eagle (Main Commentator), Sarah Kustok (Co-commentator), Michael Grady (Reporter)",,,
2022-01-15 17:00,1642294800,Cleveland Cavaliers @ Oklahoma City Thunder,Oklahoma City Thunder,Cleveland Cavaliers,NBA Regular Season,Bally Sports Ohio,952,https://basketball.icdb.tv/match/952,John Michael,Austin Carr,"Austin Carr, Michael Cage",Nancy Lieberman,John Rhadigan,"Serena Winters, Nick Gallo","John Michael (Main Commentator), Austin Carr (Co-commentator), Serena Winters (Reporter), John Rhadigan (Presenter), Chris Fisher (Main Commentator), Michael Cage (Co-commentator), Nancy Lieberman (Pundit), Nick Gallo (Reporter)",,,
